,cat_name,num_images,num_videos,age,color,sex,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,cat_id,thirty_days,without_story,coat_length_miss,color_miss,more_than_1_cat,video,num_pictures,pictures,breed_type,Days_On_Site,color_new
0,Ashe and Billie,6,0,Adult,,Female,,,,,89.0,KittyKind,one_day,Ashe and Billie KittyKind,False,False,unknown,unknown,True,False,6,True,DSH,Less Than Thirty Days,Other
1,Billie and Ashe,6,0,Adult,,Female,,,,,89.0,KittyKind,one_day,Billie and Ashe KittyKind,False,False,unknown,unknown,True,False,6,True,DSH,Less Than Thirty Days,Other
2,Holiday Hibiscus,2,0,Kitten,Gray / Blue / Silver,Male,"Other cats, children.",,,Short,126.0,Liberty Humane Society,one_day,Holiday Hibiscus Liberty Humane Society,False,False,Short,Gray / Blue / Silver,False,False,2,True,DSH,Less Than Thirty Days,Gray / Blue / Silver
3,"Favorite Babies-Wonton, Lichee, Sprout & Dumpling",3,0,Kitten,White,Male,Other cats.,,,,313.0,Brooklyn Animal Action,one_day,"Favorite Babies-Wonton, Lichee, Sprout & Dumpling Brooklyn Animal Action",False,False,unknown,White,True,False,3,True,DSH,Less Than Thirty Days,White
4,Romeo and Guero,4,0,Young,,Male,,,,Medium,149.0,The Lucky Cat Rescue,one_day,Romeo and Guero The Lucky Cat Rescue,False,False,Medium,unknown,True,False,4,True,DSH,Less Than Thirty Days,Other
5,Foxy,4,0,Adult,Tabby (Brown / Chocolate),Female,,$150.00,"Dogs, children.",,109.0,Union City Feral Cat Committee,one_day,Foxy Union City Feral Cat Committee,False,False,unknown,Tabby (Brown / Chocolate),False,False,4,True,DSH,Less Than Thirty Days,Tabby (Brown / Chocolate)
6,Felix,2,0,Adult,Black & White / Tuxedo,Male,,$150.00,Dogs.,,83.0,Union City Feral Cat Committee,one_day,Felix Union City Feral Cat Committee,False,False,unknown,Black & White / Tuxedo,False,False,2,True,DSH,Less Than Thirty Days,Black & White / Tuxedo
7,Crescent,3,0,Adult,Tabby (Brown / Chocolate),Female,,$150.00,"Dogs, children.",,96.0,Union City Feral Cat Committee,one_day,Crescent Union City Feral Cat Committee,False,False,unknown,Tabby (Brown / Chocolate),False,False,3,True,DSH,Less Than Thirty Days,Tabby (Brown / Chocolate)
8,Toby,4,0,Kitten,Tabby (Brown / Chocolate),Male,,,,,112.0,Union City Feral Cat Committee,one_day,Toby Union City Feral Cat Committee,False,False,unknown,Tabby (Brown / Chocolate),False,False,4,True,DSH,Less Than Thirty Days,Tabby (Brown / Chocolate)
9,Panda,0,0,Adult,Black & White / Tuxedo,Male,,$150.00,Dogs.,,78.0,Union City Feral Cat Committee,one_day,Panda Union City Feral Cat Committee,False,False,unknown,Black & White / Tuxedo,False,False,0,False,DSH,Less Than Thirty Days,Black & White / Tuxedo
