,Unnamed: 0,cat_name,num_images,num_videos,age,breed,color,size,sex,characteristics,house_trained,health,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,num_cats,cat_id,thirty_days,other_days,spec_needs,without_story,coat_length_miss,color_miss,more_than_1_cat,video,num_pictures,pictures,breed_type,Days_On_Site,is_dupe,color_bool,pet_narrative,good_in_a_home_with_bool,prefers_a_home_without_bool,characteristics_bool
0,0,Ashe and Billie,6,0,Adult,Domestic Short Hair,unknown,Medium,Female,unknown,Yes,"Vaccinations up to date, spayed / neutered.",unknown,,unknown,,89.0,KittyKind,one_day,1,Ashe and Billie KittyKind,False,True,False,False,unknown,unknown,True,False,6,True,DSH,Less Than Thirty Days,False,False,True,False,False,False
1,1,Billie and Ashe,6,0,Adult,Domestic Short Hair,unknown,Medium,Female,unknown,Yes,"Vaccinations up to date, spayed / neutered.",unknown,,unknown,,89.0,KittyKind,one_day,1,Billie and Ashe KittyKind,False,True,False,False,unknown,unknown,True,False,6,True,DSH,Less Than Thirty Days,False,False,True,False,False,False
2,2,Holiday Hibiscus,2,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,unknown,Yes,Vaccinations up to date.,"Other cats, children.",,unknown,Short,126.0,Liberty Humane Society,one_day,1,Holiday Hibiscus Liberty Humane Society,False,True,False,False,Short,Gray / Blue / Silver,False,False,2,True,DSH,Less Than Thirty Days,False,True,True,True,False,False
3,3,"Favorite Babies-Wonton, Lichee, Sprout & Dumpling",3,0,Kitten,Domestic Short Hair,White,Small,Male,unknown,Yes,,Other cats.,,unknown,,313.0,Brooklyn Animal Action,one_day,1,"Favorite Babies-Wonton, Lichee, Sprout & Dumpling Brooklyn Animal Action",False,True,False,False,unknown,White,True,False,3,True,DSH,Less Than Thirty Days,True,True,True,True,False,False
4,4,Romeo and Guero,4,0,Young,Domestic Short Hair,unknown,Medium,Male,"Friendly, Affectionate, Gentle, Playful",Yes,"Vaccinations up to date, spayed / neutered.",unknown,,unknown,Medium,149.0,The Lucky Cat Rescue,one_day,1,Romeo and Guero The Lucky Cat Rescue,False,True,False,False,Medium,unknown,True,False,4,True,DSH,Less Than Thirty Days,True,False,True,False,False,True
5,5,Foxy,4,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Smart, Independent, Quiet",Yes,"Vaccinations up to date, spayed / neutered.",unknown,$150.00,"Dogs, children.",,109.0,Union City Feral Cat Committee,one_day,1,Foxy Union City Feral Cat Committee,False,True,False,False,unknown,Tabby (Brown / Chocolate),False,False,4,True,DSH,Less Than Thirty Days,False,True,True,False,True,True
6,6,Felix,2,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Playful, Smart, Curious, Independent",Yes,"Vaccinations up to date, spayed / neutered.",unknown,$150.00,Dogs.,,83.0,Union City Feral Cat Committee,one_day,1,Felix Union City Feral Cat Committee,False,True,False,False,unknown,Black & White / Tuxedo,False,False,2,True,DSH,Less Than Thirty Days,False,True,True,False,True,True
7,7,Crescent,3,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Independent, Quiet, Smart",Yes,"Vaccinations up to date, spayed / neutered.",unknown,$150.00,"Dogs, children.",,96.0,Union City Feral Cat Committee,one_day,1,Crescent Union City Feral Cat Committee,False,True,False,False,unknown,Tabby (Brown / Chocolate),False,False,3,True,DSH,Less Than Thirty Days,True,True,True,False,True,True
8,8,Toby,4,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Playful, Smart, Brave, Curious, Gentle, Funny",Yes,,unknown,,unknown,,112.0,Union City Feral Cat Committee,one_day,1,Toby Union City Feral Cat Committee,False,True,False,False,unknown,Tabby (Brown / Chocolate),False,False,4,True,DSH,Less Than Thirty Days,True,True,True,False,False,True
9,9,Panda,0,0,Adult,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Medium,Male,"Friendly, Playful, Smart, Curious, Independent",Yes,"Vaccinations up to date, spayed / neutered.",unknown,$150.00,Dogs.,,78.0,Union City Feral Cat Committee,one_day,1,Panda Union City Feral Cat Committee,False,True,False,False,unknown,Black & White / Tuxedo,False,False,0,False,DSH,Less Than Thirty Days,True,True,True,False,True,True
