,cat_name,num_images,num_videos,age,breed,color,sex,characteristics,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,cat_id,thirty_days,without_story,pet_narrative,coat_length_miss,color_miss,color_bool,good_in_a_home_with_bool,prefers_a_home_without_bool,characteristics_bool,more_than_1_cat,video,num_pictures,pictures,breed_type,is_dupe,Days_On_Site
0,Ashe and Billie,6,0,Adult,Domestic Short Hair,unknown,Female,unknown,unknown,,unknown,,89.0,KittyKind,one_day,Ashe and Billie KittyKind,False,False,True,unknown,unknown,False,False,False,False,True,False,6,True,DSH,False,Less Than Thirty Days
1,Billie and Ashe,6,0,Adult,Domestic Short Hair,unknown,Female,unknown,unknown,,unknown,,89.0,KittyKind,one_day,Billie and Ashe KittyKind,False,False,True,unknown,unknown,False,False,False,False,True,False,6,True,DSH,False,Less Than Thirty Days
2,Holiday Hibiscus,2,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Male,unknown,"Other cats, children.",,unknown,Short,126.0,Liberty Humane Society,one_day,Holiday Hibiscus Liberty Humane Society,False,False,True,Short,Gray / Blue / Silver,True,True,False,False,False,False,2,True,DSH,False,Less Than Thirty Days
3,"Favorite Babies-Wonton, Lichee, Sprout & Dumpling",3,0,Kitten,Domestic Short Hair,White,Male,unknown,Other cats.,,unknown,,313.0,Brooklyn Animal Action,one_day,"Favorite Babies-Wonton, Lichee, Sprout & Dumpling Brooklyn Animal Action",False,False,True,unknown,White,True,True,False,False,True,False,3,True,DSH,True,Less Than Thirty Days
4,Romeo and Guero,4,0,Young,Domestic Short Hair,unknown,Male,"Friendly, Affectionate, Gentle, Playful",unknown,,unknown,Medium,149.0,The Lucky Cat Rescue,one_day,Romeo and Guero The Lucky Cat Rescue,False,False,True,Medium,unknown,False,False,False,True,True,False,4,True,DSH,True,Less Than Thirty Days
5,Foxy,4,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Female,"Smart, Independent, Quiet",unknown,$150.00,"Dogs, children.",,109.0,Union City Feral Cat Committee,one_day,Foxy Union City Feral Cat Committee,False,False,True,unknown,Tabby (Brown / Chocolate),True,False,True,True,False,False,4,True,DSH,False,Less Than Thirty Days
6,Felix,2,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Male,"Playful, Smart, Curious, Independent",unknown,$150.00,Dogs.,,83.0,Union City Feral Cat Committee,one_day,Felix Union City Feral Cat Committee,False,False,True,unknown,Black & White / Tuxedo,True,False,True,True,False,False,2,True,DSH,False,Less Than Thirty Days
7,Crescent,3,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Female,"Independent, Quiet, Smart",unknown,$150.00,"Dogs, children.",,96.0,Union City Feral Cat Committee,one_day,Crescent Union City Feral Cat Committee,False,False,True,unknown,Tabby (Brown / Chocolate),True,False,True,True,False,False,3,True,DSH,True,Less Than Thirty Days
8,Toby,4,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Male,"Friendly, Affectionate, Playful, Smart, Brave, Curious, Gentle, Funny",unknown,,unknown,,112.0,Union City Feral Cat Committee,one_day,Toby Union City Feral Cat Committee,False,False,True,unknown,Tabby (Brown / Chocolate),True,False,False,True,False,False,4,True,DSH,True,Less Than Thirty Days
9,Panda,0,0,Adult,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Male,"Friendly, Playful, Smart, Curious, Independent",unknown,$150.00,Dogs.,,78.0,Union City Feral Cat Committee,one_day,Panda Union City Feral Cat Committee,False,False,True,unknown,Black & White / Tuxedo,True,False,True,True,False,False,0,False,DSH,True,Less Than Thirty Days
10,Mirage,0,0,Adult,Domestic Short Hair & Tortoiseshell Mix,Tortoiseshell,Female,"Gentle, Smart, Quiet, Independent, Affectionate, Friendly",unknown,$150.00,"Dogs, children.",,85.0,Union City Feral Cat Committee,one_day,Mirage Union City Feral Cat Committee,False,False,True,unknown,Tortoiseshell,True,False,True,True,False,False,0,False,DSH,True,Less Than Thirty Days
11,Leylah,0,0,Kitten,Domestic Short Hair,Orange & White,Female,unknown,Other cats.,,unknown,Short,56.0,Lindas Feral Cat Assistance,one_day,Leylah Lindas Feral Cat Assistance,False,False,True,Short,Orange & White,True,True,False,False,False,False,0,False,DSH,False,Less Than Thirty Days
12,Bonito,3,0,Young,Domestic Short Hair,Tabby (Gray / Blue / Silver),Male,"Friendly, Affectionate, Loyal, Gentle, Playful","Other cats, children.",,unknown,Short,56.0,Lucky Black Cats of Mew York,one_day,Bonito Lucky Black Cats of Mew York,False,False,True,Short,Tabby (Gray / Blue / Silver),True,True,False,True,False,False,3,True,DSH,False,Less Than Thirty Days
13,Leo,2,0,Senior,Domestic Short Hair,Tabby (Gray / Blue / Silver),Male,unknown,"Other cats, children.",,unknown,Short,80.0,Bergen County Animal Shelter,one_day,Leo Bergen County Animal Shelter,False,False,True,Short,Tabby (Gray / Blue / Silver),True,True,False,False,False,False,2,True,DSH,True,Less Than Thirty Days
14,Brandy,0,0,Kitten,Domestic Short Hair,Orange & White,Female,"Friendly, Affectionate, Gentle, Playful, Loyal","Other cats, dogs, children, other animals. Good with all other pets.",$175.00,unknown,Short,92.0,Yellow Brick Road Rescue NJ,one_day,Brandy Yellow Brick Road Rescue NJ,False,False,True,Short,Orange & White,True,True,False,True,False,False,0,False,DSH,True,Less Than Thirty Days
