LEXI N.,3,1,Young,Domestic Short Hair,Tabby (Leopard / Spotted),Small,Female,"Friendly, Affectionate, Loyal, Gentle, Quiet, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,79,Bronx Tails Cat Rescue,1,No
Penny,1,1,Kitten,Dilute Tortoiseshell,Dilute Tortoiseshell,Small,Female,"Playful, Friendly, Gentle",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,39,Who Rescued Who Animal Rescue,1,No
Miss Misstoffelees,6,0,Young,Domestic Short Hair,Black,Medium,Female,", Affectionate, Gentle, Playful, Friendly, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,"Dogs, children.",Short,364,AdvoCat Rescue,1,No
Fries & Mash - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,1,No
Mash & Fries - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,1,No
Lulu & Lola - Bonded Sisters,6,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Small,Female,"Friendly, Affectionate, Gentle, Playful, Curious, Funny, Loves kisses, Loyal",,Yes,Vaccinations up to date.,"Other cats, dogs, children.",$200.00,,Short,203,AdvoCat Rescue,1,No
Lola & Lulu - Bpnded Sisters,6,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Small,Female,"Friendly, Affectionate, Gentle, Playful, Curious, Funny, Loves kisses, Loyal",,Yes,Vaccinations up to date.,"Other cats, dogs, children.",$200.00,,Short,203,AdvoCat Rescue,1,No
Reilly - R-Kitties,6,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Small,Male,"Friendly, Affectionate, Playful",,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,215,AdvoCat Rescue,1,No
Ramsey - R-Kitties,6,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Small,Male,"Friendly, Affectionate, Playful",,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,215,AdvoCat Rescue,1,No
The Jimmy,6,0,Kitten,Domestic Short Hair,Gray & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,264,AdvoCat Rescue,1,No
Hermione - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Calico,Medium,Female,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,1,No
Ron - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Medium,Male,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,1,No
Harry - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Buff / Tan / Fawn,Medium,Male,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,1,No
Pudder,3,0,Senior,American Shorthair & Tabby Mix,Tabby (Buff / Tan / Fawn),Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Medium,77,Adopt-A-Buddy,1,No
