Ally,2,1,Kitten,Domestic Short Hair,Black,Small,Female,", Friendly, Playful, Brave, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,117,Strays Hope for Life,All,Yes
Ava,2,0,Kitten,Domestic Short Hair,Brown / Chocolate,Small,Female,", Friendly, Gentle, Playful, Smart, Brave, Curious, Funny",,,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,Short,118,Strays Hope for Life,All,Yes
Midnight,5,1,Adult,Domestic Short Hair,Black,Large,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. FIV positive.",,,,68,Angels of Animals Inc.,All,Yes
Roz,0,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,Short,266,"S.T.A.R.T., Save The Animals Rescue Team",All,Yes
Prince (special needs),0,0,Kitten,American Shorthair,Orange / Red,Medium,Male,"Loving, Playful, Active, Affectionate, Friendly, Athletic, kitten, cuddly",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,,Short,59,Zion's Mission Animal Rescue Inc.,All,Yes
Elle,4,0,Adult,American Shorthair & Domestic Short Hair Mix,Gray & White,Medium,Female,"Loving, sweet, gentle",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Daily medication of Atopica once daily to control her stomatitis and inflammation.",Other cats.,$125.00,,Short,113,Kittens and Barbells Rescue Inc.,All,Yes
**Courtesy post** Vespa,4,0,Young,Domestic Short Hair,Black,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,,Short,87,Adore-a-Bullie Paws and Claws,All,Yes
Fancy (Courtesy Post),0,0,Senior,Domestic Short Hair,Calico,Medium,Female,"Friendly, Affectionate, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,,Short,87,"Best Friend Dog and Animal Adoption, Inc.",All,Yes
Jasmine,5,0,Adult,Domestic Medium Hair,Black,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Jasmine has multiple liver shunts and related neurological issues (blind; tremors). Currently her condition is managed with a low protein diet, Lactulose, and Metronidazole. She needs a home where someone is home most of the time who can monitor her closely for signs that veterinary follow-up is needed.",,,"Other cats, dogs, children.",Medium,181,"Best Friend Dog and Animal Adoption, Inc.",All,Yes
Alice,2,0,Kitten,Domestic Short Hair & Tabby Mix,Gray & White,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Fiv + but does not bite. Lives fine with non fiv.","Other cats, dogs.",,,Short,81,S.A.R.A. Inc.,All,Yes
Benzene,3,0,Adult,Domestic Short Hair & Tiger Mix,Tabby (Tiger Striped),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Last October 2020, this darlin’ little girl was found emaciated outside of a Philadelphia ( Science) university dorm ( thus the name Benzene)! A compassionate student took her in and sent her home to her mom in New Jersey. From there she received veterinary care and was nursed back to a healthy weight. She is however on thyroid medication which she takes twice a day morning and night. She takes it extremely easily when wrapped in a treat. The vet said that her age is unknown putting her at age 8 or older. She is extremely cuddly and her fur is exceptionally soft unlike any other cat her foster home has seen. Her legs, especially her front legs, appear to be shorter than the average cat which makes her even more adorable. Somewhere along the line she may have been mixed with the Napoleon cat breed. She thrives on being an only cat and seems rather stressed when too many other animals are around. Although friendly and loving with all we’ve noticed a slight preference for men. If you’re looking for a companion and a cuddle buddy, please consider giving this girl your loving home. If interested, please contact Lisa - lisadetown@gmail.com.",Children.,,"Other cats, dogs, other animals.",Short,,S.A.R.A. Inc.,All,Yes
