Kalu,3,0,Adult,Domestic Short Hair,Black,Medium,Male,,,Yes,Spayed / neutered.,Other cats.,,,180,Brooklyn Bridge Animal Welfare Coalition,30+,No
Princess,0,0,Adult,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,Other cats.,,,165,Brooklyn Bridge Animal Welfare Coalition,30+,No
Paddington & Rebecca Cunningham,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,,"Other cats, dogs, children.",,,372,Brooklyn Bridge Animal Welfare Coalition,30+,No
te / Tuxedo,Medium,Male,Loving Playful Curious Chill,,Yes,"Vaccinations up to date, spayed / neutered.",,,,239,Big Hands Little Paws,30+,No
Bread,6,0,Young,Domestic Short Hair,Calico,Medium,Female,"Loving, Playful, Curious, Bonded",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,229,Big Hands Little Paws,30+,No
Ginger,6,0,Young,Domestic Short Hair,Orange & White,Medium,Female,"Loving, Playful, Curious, Bonded",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,227,Big Hands Little Paws,30+,No
Beanie,5,0,Senior,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. early stage kidney disease - no medications or prescription diets required at this time but may be needed in the future.",,,Other cats.,Short,141,City Critters Inc.,30+,No
RayJay,5,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,Other cats.,Short,77,City Critters Inc.,30+,No
Gemma,5,0,Senior,Domestic Short Hair,Black,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,89,City Critters Inc.,30+,No
Goldie and Myrna,6,0,Kitten,Tuxedo,Black & White / Tuxedo,Medium,Female,"Loving, Playful, Adorable, Cute, Kitten, Snuggly",,Yes,Vaccinations up to date.,"Other cats, children.",,,Medium,134,Ready For Rescue,30+,No
Luther,5,1,Adult,Tiger & Tabby Mix,Orange & White,Medium,Male,"PLAYFUL, LOVING, SWEET, AFFECTIONATE, ORANGE TIGER TABBY, DOG FRIENDLY",,Yes,"Vaccinations up to date, spayed / neutered.",Dogs.,,,Short,167,Ready For Rescue,30+,No
Manjani,5,0,Young,Tabby,Tabby (Gray / Blue / Silver),Medium,Male,"Friendly, Cuddly, Sweet, Loving, Tabby",,Yes,"Vaccinations up to date, spayed / neutered.",Children.,,,Short,123,Ready For Rescue,30+,No
Sherbert,6,0,Young,Tabby,Tabby (Orange / Red),Medium,Male,", Friendly, Affectionate, Playful, Curious, Athletic",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,178,Ready For Rescue,30+,No
Lily,5,1,Adult,Tabby,Tabby (Brown / Chocolate),Medium,Female,"Gentle, Calm, Sweet, Quiet",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Lily is Hyperthyroid which it's well-handled with medications.",,,Children.,Short,164,Ready For Rescue,30+,No
