Sylvie,4,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,Children.,Short,263,City Critters Inc.,14,No
Carrot,6,0,Kitten,Domestic Short Hair,Orange / Red,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,109,City Critters Inc.,14,No
Belle/Ollie,5,1,Kitten,Domestic Short Hair,Gray & White,Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,62,City Critters Inc.,14,No
Mickey,4,0,Adult,Bombay & Domestic Short Hair Mix,Black,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Curious, Quiet, Dignified",,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,Short,126,Ready For Rescue,14,No
Lah Lah,5,1,Senior,Domestic Short Hair,Black,Medium,Male,"Friendly, Playful, Curious, Brave, Smart, Funny, Affectionate",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,171,Ready For Rescue,14,No
Leela,5,1,Senior,Tabby,Tabby (Orange / Red),Medium,Male,"Friendly, Affectionate, Gentle, Smart, Funny, Curious, Playful",,Yes,"Vaccinations up to date, spayed / neutered.",Children.,,,129,Ready For Rescue,14,No
Jackie,6,0,Young,Domestic Short Hair,,Medium,Female,"Affectionate, Friendly, Gentle, Smart, Playful, Quiet",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$300.00,,Medium,165,"Good World Animal Rescue and Protection,…",14,No
Dusty and Oliver,6,0,Kitten,Domestic Short Hair,,Small,Female,,,Yes,,,$300.00,,295,Waggytail Rescue,14,No
Toothless,3,0,Kitten,Domestic Short Hair,Black,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$175.00,,242,Waggytail Rescue,14,No
Mister,2,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Large,Male,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,449,Brooklyn Bridge Animal Welfare Coalition,14,No
Gold Fleck,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,Other cats.,,,150,Brooklyn Bridge Animal Welfare Coalition,14,No
Magic,3,0,Young,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,73,Brooklyn Bridge Animal Welfare Coalition,14,No
Dr. Dillamond,3,0,Young,Domestic Short Hair,Gray & White,Medium,Male,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,68,Brooklyn Bridge Animal Welfare Coalition,14,No
Joanie & Luna,3,0,Kitten,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,"Other cats, children.",,,255,Brooklyn Bridge Animal Welfare Coalition,14,No
Frankie & Jimmy,3,0,Kitten,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,"Other cats, children.",,,179,Brooklyn Bridge Animal Welfare Coalition,14,No
Tigger,2,0,Senior,Domestic Short Hair & Maine Coon Mix,,Medium,Male,,,Yes,"Spayed / neutered, declawed.",Other cats.,,Dogs.,59,Brooklyn Bridge Animal Welfare Coalition,14,No
Sterling,2,0,Adult,Domestic Short Hair,,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,102,KittyKind,14,No
Scarlett,3,0,Young,Domestic Medium Hair,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,107,KittyKind,14,No
Queenie,5,0,Adult,Domestic Long Hair & Calico Mix,Calico,Medium,Female,"Friendly, Couch potato, Gentle, Quiet",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,Children.,Long,132,Jersey Tails,14,No
Inky,3,0,Kitten,Domestic Short Hair Mix,Black,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,55,PupStarz Rescue,14,No
Quincy,2,0,Kitten,Domestic Short Hair Mix,Gray & White,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,194,PupStarz Rescue,14,No
Vern and Billy Bob,4,0,Kitten,Domestic Short Hair & Domestic Long Hair Mix,Tabby (Gray / Blue / Silver),Small,Male,"Friendly, Affectionate, Playful, Curious, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Medium,161,Animal Lighthouse Rescue,14,No
Miss Misstoffelees,6,0,Young,Domestic Short Hair,Black,Medium,Female,", Affectionate, Gentle, Playful, Friendly, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,"Dogs, children.",Short,364,AdvoCat Rescue,14,No
Fries & Mash - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,14,No
Mash & Fries - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,14,No
The Jimmy,6,0,Kitten,Domestic Short Hair,Gray & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,264,AdvoCat Rescue,14,No
Hermione - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Calico,Medium,Female,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,14,No
Ron - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Medium,Male,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,14,No
Harry - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Buff / Tan / Fawn,Medium,Male,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,14,No
Ivory Iris,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,49,Liberty Humane Society,14,No
Ida Iris,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,49,Liberty Humane Society,14,No
Ivan Iris,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,49,Liberty Humane Society,14,No
Picasso Petunia,0,0,Kitten,Domestic Short Hair,Tabby (Orange / Red),Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,49,Liberty Humane Society,14,No
Pepsi Petunia,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,49,Liberty Humane Society,14,No
Jackson Eo,3,1,Adult,Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Medium,Male,"Friendly, Affectionate, Loyal, Smart, Independent, Curious, Loves kisses, Gentle",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,49,Liberty Humane Society,14,No
Kandice Kalmia Eo,0,0,Kitten,Domestic Short Hair Mix,White,Small,Female,"Friendly, Affectionate",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,87,Liberty Humane Society,14,No
Nora Nolana,0,0,Kitten,Domestic Short Hair,Tortoiseshell,Small,Female,"Friendly, Affectionate, Curious, Loves kisses",,Yes,Vaccinations up to date.,,,,Short,49,Liberty Humane Society,14,No
Mizuna,0,0,Adult,Domestic Short Hair Mix,Torbie,Medium,Female,"Friendly, Affectionate",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,83,Liberty Humane Society,14,No
Coral,3,1,Young,Domestic Short Hair Mix,White,Medium,Male,"Friendly, Affectionate, Playful, Curious, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,90,Liberty Humane Society,14,No
Jitterbug Jasmine,0,0,Kitten,Domestic Short Hair Mix,Black,Small,Male,"Affectionate, Friendly",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,83,Liberty Humane Society,14,No
Cress,1,1,Kitten,Domestic Short Hair Mix,Black,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,97,Liberty Humane Society,14,No
Moon,2,1,Adult,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Male,"Affectionate, Loyal, Gentle, Curious, Quiet, Couch potato, Loves kisses, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,124,Liberty Humane Society,14,No
Nala,4,1,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,48,Liberty Humane Society,14,No
Mars C,2,1,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Friendly, Affectionate, Independent, Quiet, Dignified, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,117,Liberty Humane Society,14,No
