Dougie,5,1,Senior,Domestic Short Hair,,Medium,Female,,,,"Spayed / neutered, special needs.",,,,362,City Critters Inc.,30+,Special Needs 30+
Elias,6,1,Adult,Domestic Short Hair,,Medium,Male,,,,"Spayed / neutered, special needs.",,,,168,City Critters Inc.,30+,Special Needs 30+
Beanie,5,0,Senior,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. early stage kidney disease - no medications or prescription diets required at this time but may be needed in the future.",,,Other cats.,Short,141,City Critters Inc.,30+,Special Needs 30+
Jalapeno - NYC,6,0,Young,Domestic Short Hair,Black,Medium,Female,FIV positive,,,"Vaccinations up to date, spayed / neutered, special needs.",,,,285,Best Friends Animal Society - East Coast Life…,30+,Special Needs 30+
Bambi - NYC,6,0,Adult,Domestic Short Hair,Black,Medium,Female,FIV positive,,,"Vaccinations up to date, spayed / neutered, special needs.",,,,180,Best Friends Animal Society - East Coast Life…,30+,Special Needs 30+
Lily,5,1,Adult,Tabby,Tabby (Brown / Chocolate),Medium,Female,"Gentle, Calm, Sweet, Quiet",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Lily is Hyperthyroid which it's well-handled with medications.",,,Children.,Short,164,Ready For Rescue,30+,Special Needs 30+
Zoomie,5,1,Senior,Tabby & Domestic Short Hair Mix,Orange / Red,Medium,Male,"Sweet, Affectionate, Loving, Playful",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Zoomie is on medication twice a day to help him go to the bathroom regularly. He takes his medication very easily, like a very good boy. His medications keep things smooth sailing!.",,,Children.,Short,176,Ready For Rescue,30+,Special Needs 30+
Cinnamon,0,0,Adult,Domestic Short Hair,Calico,Medium,Female,"calm, quiet, playful, beautiful",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Cinnamon will need a patient adopter who will give her time to adjust to her new home.",,,,Short,89,RescueNYC,30+,Special Needs 30+
Felix,5,1,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Cuddly, Adventurous, Playful, Snuggly",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Blind.",,$150.00,,Short,385,Fur Real,30+,Special Needs 30+
Pioneer Helen,3,0,Senior,Domestic Short Hair,,Medium,Female,,,Yes,"Spayed / neutered, special needs.",Other cats.,,,171,Brooklyn Bridge Animal Welfare Coalition,30+,Special Needs 30+
Ruby,2,0,Senior,Domestic Short Hair,Black,Small,Female,"Tiny, Loves other cats, Loves to be petted, Calm, Senior, Tongue peeks out, Cute, Rescues Rock",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",,,Short,227,North Brooklyn Cats,30+,Special Needs 30+
Tostitos (SPECIAL BEHAVIOR NEEDS) FEE WAIVED,2,1,Adult,Domestic Short Hair Mix,Black,Medium,Male,", Independent, Dignified",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,"Dogs, children.",Short,419,Liberty Humane Society,30+,Special Needs 30+
Negrita,6,0,Adult,Domestic Short Hair,Black,Small,Female,"Sugar Sweet and Petite, Darling Bud, Purr machine",,Yes,"Vaccinations up to date, spayed / neutered, special needs. FIV Positive.",Dogs.,,,Short,208,"Tails of Love Animal Rescue, Inc.",30+,Special Needs 30+
Sara,6,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Eye issue.","Other cats, dogs.",,,81,Final Hope Animal Rescue and Sanctuary,30+,Special Needs 30+
Tessa,6,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Spayed / neutered, special needs. FIV+.",Other cats.,,,45,Final Hope Animal Rescue and Sanctuary,30+,Special Needs 30+
Carla,4,0,Adult,Domestic Short Hair & Calico Mix,,Large,Female,,,Yes,"Spayed / neutered, special needs. FELV+.",Other cats.,$175.00,,27,Final Hope Animal Rescue and Sanctuary,30+,Special Needs 30+
Lucky,6,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,"Spayed / neutered, special needs. heart issue.",Other cats.,,,44,Final Hope Animal Rescue and Sanctuary,30+,Special Needs 30+
James,5,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,"Spayed / neutered, special needs. Felv+.",Other cats.,,,31,Final Hope Animal Rescue and Sanctuary,30+,Special Needs 30+
Ghost,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,"Spayed / neutered, special needs.",,,,271,Good Home Pet Adoptions,30+,Special Needs 30+
Althea - super special (needs) girl,2,0,Adult,Domestic Short Hair,,Medium,Female,,,Yes,"Spayed / neutered, special needs.","Other cats, children.",,,302,Brooklyn Animal Action,30+,Special Needs 30+
"Nevertheless, Ava Persisted",3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,"Spayed / neutered, special needs.",Other cats.,,,377,Brooklyn Animal Action,30+,Special Needs 30+
Lea,0,0,Adult,Domestic Short Hair,Black,Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,45,Heart and Hand Society,30+,Special Needs 30+
Tommy,0,0,Adult,Domestic Medium Hair,Orange & White,Large,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,29,Heart and Hand Society,30+,Special Needs 30+
Cassandra,0,0,Senior,Tuxedo & Domestic Short Hair Mix,Black & White / Tuxedo,Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,"Other cats, dogs, children.",37,Heart and Hand Society,30+,Special Needs 30+
Newton,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,", Friendly, Affectionate, Gentle, Playful, Independent, Curious, Brave, Smart, Funny, Athletic",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Dogs, children.",,"Other cats, other animals. Good with dogs!.",Short,157,JerseyCats,30+,Special Needs 30+
Luna,5,1,Adult,Domestic Short Hair,Black,Small,Female,", Friendly, Playful, Gentle, Curious, Funny, Brave",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs.",,,Short,160,Infinite Hope,30+,Special Needs 30+
Adonis,5,0,Adult,Siamese Mix,Seal Point,Medium,Male,"Couch potato, Affectionate, Smart",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,Short,166,Fuzzy Butt Rescue and TNR,30+,Special Needs 30+
Mito,2,0,Senior,Tabby,Tabby (Gray / Blue / Silver),Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Diabetic and FIV positive.",Other cats.,,,Short,108,CLAWS,30+,Special Needs 30+
Bocella Minnie Squeakerton NYC kitty,4,0,Kitten,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Medium,Female,", Gentle, Playful, Smart, Brave",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,Short,331,"Zanis Furry Friends ZFF, Inc",30+,Special Needs 30+
