,cat_name,num_images,num_videos,age,breed,color,size,sex,characteristics,house_trained,health,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set
0,Ashe and Billie,6,0,Adult,Domestic Short Hair,,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,89.0,KittyKind,one_day
1,Billie and Ashe,6,0,Adult,Domestic Short Hair,,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,89.0,KittyKind,one_day
2,Holiday Hibiscus,2,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,,Yes,Vaccinations up to date.,"Other cats, children.",,,Short,126.0,Liberty Humane Society,one_day
3,"Favorite Babies-Wonton, Lichee, Sprout & Dumpling",3,0,Kitten,Domestic Short Hair,White,Small,Male,,Yes,,Other cats.,,,,313.0,Brooklyn Animal Action,one_day
4,Romeo and Guero,4,0,Young,Domestic Short Hair,,Medium,Male,"Friendly, Affectionate, Gentle, Playful",Yes,"Vaccinations up to date, spayed / neutered.",,,,Medium,149.0,The Lucky Cat Rescue,one_day
5,Foxy,4,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Smart, Independent, Quiet",Yes,"Vaccinations up to date, spayed / neutered.",,$150.00,"Dogs, children.",,109.0,Union City Feral Cat Committee,one_day
6,Felix,2,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Playful, Smart, Curious, Independent",Yes,"Vaccinations up to date, spayed / neutered.",,$150.00,Dogs.,,83.0,Union City Feral Cat Committee,one_day
7,Crescent,3,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Independent, Quiet, Smart",Yes,"Vaccinations up to date, spayed / neutered.",,$150.00,"Dogs, children.",,96.0,Union City Feral Cat Committee,one_day
8,Toby,4,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Playful, Smart, Brave, Curious, Gentle, Funny",Yes,,,,,,112.0,Union City Feral Cat Committee,one_day
9,Panda,0,0,Adult,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Medium,Male,"Friendly, Playful, Smart, Curious, Independent",Yes,"Vaccinations up to date, spayed / neutered.",,$150.00,Dogs.,,78.0,Union City Feral Cat Committee,one_day
10,Mirage,0,0,Adult,Domestic Short Hair & Tortoiseshell Mix,Tortoiseshell,Medium,Female,"Gentle, Smart, Quiet, Independent, Affectionate, Friendly",Yes,"Vaccinations up to date, spayed / neutered.",,$150.00,"Dogs, children.",,85.0,Union City Feral Cat Committee,one_day
11,Leylah,0,0,Kitten,Domestic Short Hair,Orange & White,Medium,Female,,Yes,Vaccinations up to date.,Other cats.,,,Short,56.0,Lindas Feral Cat Assistance,one_day
12,Bonito,3,0,Young,Domestic Short Hair,Tabby (Gray / Blue / Silver),Large,Male,"Friendly, Affectionate, Loyal, Gentle, Playful",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,56.0,Lucky Black Cats of Mew York,one_day
13,Leo,2,0,Senior,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,80.0,Bergen County Animal Shelter,one_day
14,Brandy,0,0,Kitten,Domestic Short Hair,Orange & White,Medium,Female,"Friendly, Affectionate, Gentle, Playful, Loyal",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. Good with all other pets.",$175.00,,Short,92.0,Yellow Brick Road Rescue NJ,one_day
15,Jessica,2,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Friendly, Affectionate, Gentle, Playful, Loyal",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. Good with all other pets.",$175.00,,Short,92.0,Yellow Brick Road Rescue NJ,one_day
16,Skittles,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All other pets.",$175.00,,Short,103.0,Yellow Brick Road Rescue NJ,one_day
